Date,Price,Open,High,Low,Volume,Change %
9/12/2022,"3,800.00","4,000.00","4,000.00","3,700.00",1.10M,-5.00%
8/12/2022,"4,000.00","3,800.00","4,000.00","3,800.00",1.27M,5.26%
7/12/2022,"3,800.00","4,000.00","4,000.00","3,600.00",1.82M,-5.00%
6/12/2022,"4,000.00","4,500.00","4,500.00","4,000.00",4.06M,-9.09%
5/12/2022,"4,400.00","4,200.00","4,500.00","4,200.00",2.36M,4.76%
2/12/2022,"4,200.00","4,000.00","4,200.00","3,900.00",1.47M,2.44%
1/12/2022,"4,100.00","4,000.00","4,200.00","3,900.00",2.67M,5.13%
30/11/2022,"3,900.00","4,000.00","4,000.00","3,800.00",1.96M,0.00%
29/11/2022,"3,900.00","3,800.00","4,100.00","3,700.00",1.73M,2.63%
28/11/2022,"3,800.00","3,600.00","3,800.00","3,500.00",1.91M,8.57%
25/11/2022,"3,500.00","3,400.00","3,600.00","3,400.00",819.25K,2.94%
24/11/2022,"3,400.00","3,300.00","3,400.00","3,200.00",672.20K,0.00%
23/11/2022,"3,400.00","3,600.00","3,700.00","3,400.00",1.06M,-5.56%
22/11/2022,"3,600.00","3,600.00","3,800.00","3,400.00",2.12M,2.86%
21/11/2022,"3,500.00","2,900.00","3,500.00","2,900.00",2.07M,9.38%
18/11/2022,"3,200.00","3,100.00","3,200.00","2,900.00",1.72M,3.23%
17/11/2022,"3,100.00","3,000.00","3,100.00","2,700.00",1.40M,6.90%
16/11/2022,"2,900.00","2,600.00","2,900.00","2,500.00",2.25M,7.41%
15/11/2022,"2,700.00","2,700.00","3,000.00","2,700.00",1.63M,-10.00%
14/11/2022,"3,000.00","2,900.00","3,200.00","2,900.00",1.04M,-6.25%
11/11/2022,"3,200.00","3,000.00","3,400.00","3,000.00",693.61K,-3.03%
10/11/2022,"3,300.00","3,600.00","3,600.00","3,300.00",979.50K,-8.33%
9/11/2022,"3,600.00","3,400.00","3,700.00","3,400.00",427.01K,2.86%
8/11/2022,"3,500.00","3,500.00","3,700.00","3,300.00",753.33K,-2.78%
7/11/2022,"3,600.00","3,800.00","4,000.00","3,600.00",1.08M,-7.69%
4/11/2022,"3,900.00","4,100.00","4,100.00","3,800.00",943.05K,-4.88%
3/11/2022,"4,100.00","4,100.00","4,100.00","4,000.00",282.56K,0.00%
2/11/2022,"4,100.00","3,800.00","4,200.00","3,800.00",568.35K,-2.38%
1/11/2022,"4,200.00","4,100.00","4,300.00","4,100.00",587.65K,0.00%
31/10/2022,"4,200.00","4,100.00","4,300.00","4,000.00",1.20M,2.44%
28/10/2022,"4,100.00","4,300.00","4,400.00","4,100.00",999.06K,-4.65%
27/10/2022,"4,300.00","4,000.00","4,300.00","4,000.00",829.95K,7.50%
26/10/2022,"4,000.00","3,800.00","4,200.00","3,800.00",608.43K,-2.44%
25/10/2022,"4,100.00","4,200.00","4,300.00","3,700.00",1.29M,0.00%
24/10/2022,"4,100.00","4,500.00","4,700.00","4,100.00",1.54M,-8.89%
21/10/2022,"4,500.00","5,000.00","5,100.00","4,500.00",1.41M,-10.00%
20/10/2022,"5,000.00","5,000.00","5,100.00","4,900.00",471.98K,0.00%
19/10/2022,"5,000.00","5,300.00","5,300.00","5,000.00",533.82K,-3.85%
18/10/2022,"5,200.00","5,100.00","5,300.00","5,100.00",609.92K,1.96%
