Date,Price,Open,High,Low,Volume,Change %
3/13/2023,"103,000","103,000","103,000","103,000",1.20K,3.00%
3/10/2023,"100,000","100,000","100,000","100,000",1.62K,1.01%
3/9/2023,"99,000","99,000","99,000","99,000",0.60K,2.59%
3/7/2023,"96,500","96,500","96,500","96,500",0.52K,-3.60%
3/6/2023,"100,100","100,000","100,500","100,000",3.00K,-9.90%
3/3/2023,"111,100","111,100","118,000","111,000",1.43K,0.00%
3/2/2023,"111,100","95,000","111,100","95,000",3.00K,10.00%
2/28/2023,"101,000","101,600","101,600","100,800",1.90K,-9.82%
2/24/2023,"112,000","103,000","112,000","103,000",3.20K,9.80%
2/23/2023,"102,000","100,000","102,000","100,000",1.93K,2.10%
2/22/2023,"99,900","99,900","99,900","99,900",0.30K,0.91%
2/21/2023,"99,000","98,000","99,000","98,000",0.50K,1.02%
2/20/2023,"98,000","98,000","98,000","98,000",0.43K,2.08%
2/17/2023,"96,000","98,000","98,500","96,000",0.30K,1.05%
2/16/2023,"95,000","95,000","95,000","95,000",1.73K,0.96%
2/15/2023,"94,100","93,500","94,100","93,500",0.33K,-1.98%
2/13/2023,"96,000","95,600","96,000","95,500",0.60K,0.52%
2/10/2023,"95,500","95,500","95,500","95,500",1.10K,2.58%
2/9/2023,"93,100","93,200","93,200","93,100",0.20K,0.11%
2/8/2023,"93,000","93,000","93,000","93,000",0.10K,-9.71%
2/7/2023,"103,000","90,000","103,000","90,000",0.41K,5.64%
2/3/2023,"97,500","90,000","97,500","90,000",0.20K,0.00%
2/2/2023,"97,500","97,000","97,500","97,000",3.51K,0.52%
2/1/2023,"97,000","97,000","97,000","97,000",0.10K,0.00%
1/31/2023,"97,000","100,000","100,000","96,000",0.70K,1.25%
1/30/2023,"95,800","95,800","95,800","95,800",0.32K,0.84%
1/27/2023,"95,000","95,000","95,000","95,000",1.10K,0.53%
1/19/2023,"94,500","95,000","95,000","94,500",0.20K,3.85%
1/16/2023,"91,000","91,000","91,000","91,000",0.13K,-2.15%
1/6/2023,"93,000","93,000","93,000","93,000",0.20K,-1.06%
12/30/2022,"94,000","94,000","94,000","94,000",0.20K,1.08%
12/28/2022,"93,000","93,000","93,000","93,000",0.42K,0.00%
12/19/2022,"93,000","93,000","93,000","93,000",0.10K,-5.97%
12/16/2022,"98,900","92,000","98,900","92,000",0.50K,5.21%
12/15/2022,"94,000","94,000","94,000","94,000",0.58K,5.50%
12/14/2022,"89,100","90,500","90,500","89,100",0.70K,0.11%
12/13/2022,"89,000","89,000","89,000","89,000",0.20K,-1.11%
12/9/2022,"90,000","90,000","90,000","90,000",0.10K,0.00%
12/7/2022,"90,000","90,000","90,000","90,000",0.20K,0.56%
12/6/2022,"89,500","90,000","90,000","89,500",0.20K,-0.56%
12/1/2022,"90,000","90,000","91,000","90,000",0.60K,-0.55%
11/30/2022,"90,500","90,500","90,500","90,500",0.29K,0.44%
11/29/2022,"90,100","90,100","90,100","90,100",0.10K,0.11%
11/25/2022,"90,000","89,100","90,000","89,000",4.10K,-0.11%
11/23/2022,"90,100","90,100","90,100","90,100",2.75K,-2.07%
11/18/2022,"92,000","91,000","92,000","91,000",1.00K,2.79%
11/17/2022,"89,500","89,500","89,500","89,500",0.10K,0.56%
11/16/2022,"89,000","89,000","89,000","89,000",0.30K,-2.20%
11/15/2022,"91,000","89,500","91,000","89,000",2.90K,2.25%
11/14/2022,"89,000","89,100","90,000","89,000",10.90K,-1.11%
11/10/2022,"90,000","89,500","90,000","89,500",0.80K,-1.10%
11/9/2022,"91,000","90,000","91,000","90,000",1.70K,1.11%
11/8/2022,"90,000","90,000","90,000","90,000",0.10K,0.90%
11/7/2022,"89,200","89,000","89,200","89,000",3.10K,0.11%
11/4/2022,"89,100","89,100","89,100","89,100",0.40K,0.00%
11/3/2022,"89,100","89,100","89,100","89,100",0.10K,0.11%
11/2/2022,"89,000","89,100","89,100","89,000",0.40K,0.00%
11/1/2022,"89,000","89,100","89,100","89,000",1.60K,-0.11%
10/31/2022,"89,100","89,100","89,100","89,100",0.10K,0.68%
10/28/2022,"88,500","88,600","88,600","88,500",1.22K,0.00%
10/27/2022,"88,500","88,500","88,500","88,500",0.10K,-1.12%
10/24/2022,"89,500","89,700","89,700","89,500",4.90K,-0.56%
10/21/2022,"90,000","90,000","90,000","90,000",2.00K,0.00%
10/20/2022,"90,000","90,000","90,000","90,000",2.60K,-0.11%
10/17/2022,"90,100","90,000","90,100","90,000",1.11K,0.11%
10/14/2022,"90,000","90,000","90,000","90,000",1.00K,1.12%
10/10/2022,"89,000","89,100","90,000","89,000",2.90K,-1.11%
10/7/2022,"90,000","90,200","90,200","90,000",3.10K,-0.22%
10/6/2022,"90,200","90,200","90,200","90,200",0.20K,-0.66%
10/5/2022,"90,800","90,800","90,800","90,800",0.10K,0.22%
10/4/2022,"90,600","90,000","90,600","90,000",4.40K,0.00%
10/3/2022,"90,600","90,600","90,600","90,600",1.00K,0.67%
9/30/2022,"90,000","90,000","90,000","90,000",1.01K,-0.22%
9/29/2022,"90,200","90,000","90,200","90,000",0.60K,0.11%
9/28/2022,"90,100","89,000","90,100","89,000",0.40K,1.24%
9/26/2022,"89,000","90,600","90,600","89,000",1.80K,-1.77%
9/22/2022,"90,600","90,200","90,600","90,200",0.33K,-0.98%
9/21/2022,"91,500","91,500","91,500","91,500",0.40K,0.55%
9/20/2022,"91,000","90,200","91,000","90,200",0.30K,0.89%
9/19/2022,"90,200","90,500","91,000","90,200",0.80K,0.11%
9/14/2022,"90,100","90,100","90,200","90,100",0.50K,-0.11%
9/13/2022,"90,200","90,200","90,200","90,200",0.10K,-0.33%
9/12/2022,"90,500","90,100","90,500","90,100",0.64K,0.44%
9/9/2022,"90,100","90,100","90,100","90,100",0.10K,-0.99%
9/7/2022,"91,000","91,000","91,000","91,000",0.20K,1.11%
9/6/2022,"90,000","90,000","90,000","90,000",0.70K,-0.22%
9/5/2022,"90,200","90,200","90,200","90,200",1.00K,0.11%
8/31/2022,"90,100","90,100","90,100","90,100",1.90K,0.00%
8/30/2022,"90,100","90,100","90,100","90,100",1.00K,0.11%
8/29/2022,"90,000","90,000","90,000","90,000",0.50K,-0.11%
8/26/2022,"90,100","90,500","90,500","90,100",3.30K,0.00%
8/25/2022,"90,100","90,100","90,100","90,100",0.70K,-0.11%
