Date,Price,Open,High,Low,Volume,Change %
15/06/2020,"15,365.20","15,665.80","15,665.80","15,031.20",45.26K,-0.22%
12/6/2020,"15,398.60","14,864.20","15,498.80","14,864.20",47.32K,1.77%
11/6/2020,"15,131.40","16,033.30","16,166.90","15,098.00",79.95K,-5.23%
10/6/2020,"15,966.50","15,198.20","16,333.90","15,198.20",175.98K,5.06%
9/6/2020,"15,198.20","15,198.20","15,265.00","15,031.20",142.63K,1.11%
8/6/2020,"15,031.20","15,031.20","15,064.60","14,931.00",219.10K,1.12%
5/6/2020,"14,864.20","14,764.00","14,864.20","14,697.20",62.97K,0.68%
4/6/2020,"14,764.00","14,764.00","14,931.00","14,697.20",77.11K,-1.34%
3/6/2020,"14,964.40","14,964.40","14,997.80","14,764.00",46.82K,0.00%
2/6/2020,"14,964.40","15,131.40","15,131.40","14,730.60",76.50K,-0.44%
1/6/2020,"15,031.20","15,231.60","15,265.00","14,864.20",65.58K,0.00%
29/05/2020,"15,031.20","13,528.10","15,331.80","13,528.10",32.31K,0.67%
28/05/2020,"14,931.00","15,131.40","15,131.40","14,897.60",19.04K,-0.67%
27/05/2020,"15,031.20","15,031.20","15,131.40","14,997.80",68.45K,0.00%
26/05/2020,"15,031.20","15,031.20","15,131.40","14,964.40",54.70K,0.00%
25/05/2020,"15,031.20","15,298.40","15,298.40","14,964.40",32.76K,-0.66%
22/05/2020,"15,131.40","15,432.00","15,432.00","14,931.00",109.70K,-1.09%
21/05/2020,"15,298.40","15,331.80","15,365.20","15,131.40",49.89K,-0.43%
20/05/2020,"15,365.20","15,198.20","15,432.00","15,198.20",25.75K,-0.43%
19/05/2020,"15,432.00","15,632.40","15,632.40","15,164.80",129.99K,-0.65%
18/05/2020,"15,532.20","15,799.40","15,799.40","15,198.20",39.56K,-0.43%
15/05/2020,"15,599.00","15,665.80","15,832.90","15,365.20",50.16K,0.21%
14/05/2020,"15,565.60","15,465.40","15,599.00","15,231.60",43.68K,2.19%
13/05/2020,"15,231.60","15,599.00","15,632.40","15,231.60",33.53K,-2.15%
12/5/2020,"15,565.60","15,365.20","15,632.40","15,131.40",83.16K,0.43%
11/5/2020,"15,498.80","15,432.00","15,599.00","15,298.40",23.32K,0.87%
8/5/2020,"15,365.20","15,331.80","15,665.80","15,098.00",83.89K,0.88%
7/5/2020,"15,231.60","15,198.20","15,365.20","15,031.20",38.74K,1.33%
6/5/2020,"15,031.20","15,365.20","15,365.20","15,031.20",39.69K,-2.17%
5/5/2020,"15,365.20","15,365.20","15,398.60","15,031.20",42.84K,-0.22%
4/5/2020,"15,398.60","15,866.30","15,866.30","15,198.20",21.56K,-0.22%
29/04/2020,"15,432.00","15,665.80","15,699.20","15,198.20",92.96K,0.87%
28/04/2020,"15,298.40","15,198.20","15,532.20","14,697.20",100.03K,0.00%
27/04/2020,"15,298.40","16,868.30","17,269.20","14,897.60",56.31K,-2.55%
24/04/2020,"15,699.20","15,866.30","15,866.30","15,599.00",49.28K,-2.29%
23/04/2020,"16,066.70","16,033.90","16,295.70","15,968.50",46.56K,0.82%
22/04/2020,"15,935.80","16,033.90","16,033.90","15,543.10",159.63K,0.41%
21/04/2020,"15,870.30","16,852.00","17,015.60","15,706.70",96.38K,-4.90%
20/04/2020,"16,688.40","16,164.80","16,950.20","16,132.10",333.63K,3.45%
17/04/2020,"16,132.10","15,739.40","16,132.10","15,477.70",66.20K,2.71%
16/04/2020,"15,706.70","17,342.80","17,342.80","15,510.40",50.76K,-1.03%
15/04/2020,"15,870.30","15,379.50","15,903.10","15,248.60",123.35K,4.08%
14/04/2020,"15,248.60","15,379.50","15,379.50","15,052.30",20.58K,-0.85%
13/04/2020,"15,379.50","14,888.70","15,379.50","14,888.70",43.99K,0.64%
10/4/2020,"15,281.30","15,281.30","15,379.50","15,052.30",16.13K,0.00%
9/4/2020,"15,281.30","15,150.40","15,281.30","15,085.00",27.86K,1.52%
8/4/2020,"15,052.30","15,543.10","15,543.10","14,397.80",60.20K,0.44%
7/4/2020,"14,986.80","15,346.80","15,543.10","14,430.50",57.04K,0.66%
6/4/2020,"14,888.70","14,659.60","15,477.70","14,070.60",86.80K,2.94%
3/4/2020,"14,463.30","14,561.40","14,594.20","13,907.00",5.91K,0.45%
1/4/2020,"14,397.80","14,397.80","14,594.20","14,365.10",5.01K,0.00%
31/03/2020,"14,397.80","14,561.40","14,561.40","13,088.90",47.39K,0.00%
30/03/2020,"14,397.80","14,332.40","14,561.40","13,939.70",13.75K,3.53%
27/03/2020,"13,907.00","14,659.60","14,659.60","13,907.00",11.34K,-5.13%
26/03/2020,"14,659.60","16,001.20","16,001.20","14,397.80",8.46K,0.22%
25/03/2020,"14,626.90","15,837.60","15,837.60","14,397.80",8.80K,1.59%
24/03/2020,"14,397.80","14,070.60","14,528.70","14,070.60",23.44K,0.00%
23/03/2020,"14,397.80","14,725.00","14,725.00","13,579.80",81.18K,-4.14%
20/03/2020,"15,019.50","15,706.70","15,706.70","14,397.80",86.24K,-0.22%
19/03/2020,"15,052.30","14,888.70","15,052.30","13,743.40",64.11K,-0.43%
18/03/2020,"15,117.70","15,052.30","15,150.40","14,888.70",57.15K,0.22%
17/03/2020,"15,085.00","15,052.30","15,117.70","14,790.50",53.48K,0.22%
16/03/2020,"15,052.30","15,150.40","15,215.90","14,888.70",74.51K,0.00%
13/03/2020,"15,052.30","16,557.50","16,557.50","14,725.00",51.46K,0.00%
12/3/2020,"15,052.30","16,361.20","16,361.20","14,888.70",96.82K,-2.95%
11/3/2020,"15,510.40","15,575.80","15,608.60","15,183.20",147.00K,0.00%
10/3/2020,"15,510.40","16,361.20","16,361.20","15,281.30",14.17K,-0.63%
9/3/2020,"15,608.60","16,361.20","16,361.20","15,346.80",54.15K,-1.45%
6/3/2020,"15,837.60","15,772.20","16,328.40","15,706.70",11.51K,0.41%
5/3/2020,"15,772.20","17,277.40","17,277.40","15,543.10",23.52K,0.42%
4/3/2020,"15,706.70","15,706.70","15,772.20","15,477.70",39.48K,0.00%
3/3/2020,"15,706.70","15,641.30","15,772.20","15,510.40",67.65K,2.13%
2/3/2020,"15,379.50","15,674.00","15,674.00","15,314.10",36.68K,0.21%
28/02/2020,"15,346.80","15,804.90","15,804.90","15,117.70",48.59K,1.96%
27/02/2020,"15,052.30","15,314.10","15,346.80","15,019.50",134.18K,-1.71%
26/02/2020,"15,314.10","15,575.80","15,608.60","15,281.30",90.27K,-1.27%
25/02/2020,"15,510.40","15,706.70","15,870.30","15,510.40",47.60K,-1.25%
