"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2022","32,866","32,866","32,866","32,866","0.25K","3.22%"
"06/13/2022","31,840","32,194","32,194","31,840","30.25K","-5.36%"
"06/09/2022","33,645","33,255","33,998","33,255","3.22K","-8.03%"
"06/07/2022","36,581","36,581","36,581","36,581","0.25K","10.00%"
"06/03/2022","33,255","33,255","33,255","33,255","37.00K","0.00%"
"06/02/2022","33,255","32,760","33,255","32,760","18.00K","0.00%"
"06/01/2022","33,255","33,220","33,255","33,220","10.00K","0.00%"
"05/30/2022","33,255","33,255","33,255","33,255","0.25K","-2.59%"
"05/26/2022","34,140","32,194","34,140","32,194","0.50K","-0.52%"
"05/25/2022","34,317","34,317","34,317","34,317","7.00K","1.04%"
"05/24/2022","33,963","33,963","33,963","33,963","0.50K","5.96%"
"05/23/2022","32,053","32,088","32,088","32,053","4.50K","-5.62%"
"05/20/2022","33,963","34,105","34,105","32,866","49.75K","3.78%"
"05/18/2022","32,725","31,840","32,725","31,840","20.25K","-4.54%"
"05/17/2022","34,281","34,317","34,317","34,281","0.50K","7.67%"
"05/16/2022","31,840","32,194","32,194","31,840","1.50K","-1.10%"
"05/13/2022","32,194","32,937","32,972","31,840","48.50K","-2.36%"
"05/12/2022","32,972","32,937","33,008","32,937","7.25K","0.11%"
"05/11/2022","32,937","32,937","32,937","32,937","1.00K","0.00%"
"05/10/2022","32,937","31,840","32,937","31,840","0.50K","3.45%"
"05/09/2022","31,840","38,810","38,810","31,840","6.25K","-9.82%"
"05/05/2022","35,307","33,609","35,307","33,079","1.25K","3.74%"
"05/04/2022","34,034","35,378","35,378","34,034","4.00K","-3.80%"
"04/29/2022","35,378","35,378","35,378","35,378","0.75K","-64.62%"
"04/27/2022","100,000","98,700","100,000","98,500","1.50K","1.42%"
"04/26/2022","98,600","90,000","98,600","90,000","1.20K","2.71%"
"04/25/2022","96,000","100,000","100,000","96,000","1.50K","-8.48%"
"04/22/2022","104,900","101,000","104,900","98,500","1.21K","1.55%"
"04/21/2022","103,300","102,000","103,300","102,000","1.00K","-0.10%"
"04/20/2022","103,400","96,000","105,000","96,000","0.80K","0.29%"
"04/19/2022","103,100","102,100","103,100","102,000","2.40K","-1.81%"
"04/18/2022","105,000","105,000","105,000","101,200","1.30K","-1.87%"
"04/15/2022","107,000","105,000","107,000","104,500","4.70K","-0.83%"
"04/14/2022","107,900","108,000","108,000","104,000","2.80K","-0.09%"
"04/13/2022","108,000","108,000","108,000","108,000","0.11K","0.09%"
"04/12/2022","107,900","105,000","107,900","105,000","1.10K","-0.09%"
"04/08/2022","108,000","108,000","108,000","107,000","10.20K","0.00%"
"04/07/2022","108,000","108,000","108,000","107,900","2.00K","0.00%"
"04/06/2022","108,000","108,000","108,000","108,000","0.60K","0.00%"
"04/05/2022","108,000","109,000","109,000","106,000","9.80K","-1.91%"
"04/04/2022","110,100","110,100","110,100","110,000","8.22K","0.09%"
