"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2021","119,000","116,500","120,100","116,500","0.80K","2.15%"
"09/07/2021","116,500","116,600","116,600","116,500","0.30K","0.00%"
"09/06/2021","116,500","116,500","116,600","116,400","1.33K","0.26%"
"09/01/2021","116,200","115,100","117,500","115,000","1.40K","-3.17%"
"08/31/2021","120,000","120,000","120,000","117,400","1.80K","3.45%"
"08/30/2021","116,000","116,000","116,000","116,000","1.21K","9.95%"
"08/27/2021","105,500","113,000","115,000","104,800","5.60K","-9.05%"
"08/26/2021","116,000","119,000","119,000","116,000","0.60K","-2.52%"
"08/24/2021","119,000","119,000","119,000","119,000","0.10K","0.00%"
"08/23/2021","119,000","119,000","119,000","119,000","0.20K","0.85%"
"08/20/2021","118,000","116,000","120,000","116,000","0.50K","0.00%"
"08/18/2021","118,000","116,600","118,000","116,600","0.40K","1.20%"
"08/17/2021","116,600","116,100","116,600","116,100","0.21K","0.95%"
"08/16/2021","115,500","115,500","115,500","115,500","0.20K","-5.94%"
"08/13/2021","122,800","122,800","122,800","122,800","1.10K","-0.16%"
"08/11/2021","123,000","123,000","123,000","123,000","0.41K","0.00%"
"08/10/2021","123,000","116,900","123,800","116,900","8.30K","5.13%"
"08/09/2021","117,000","117,000","117,000","115,000","0.90K","1.74%"
"08/05/2021","115,000","115,000","115,000","115,000","0.10K","0.17%"
"08/04/2021","114,800","113,000","114,800","113,000","0.30K","0.70%"
"08/03/2021","114,000","114,000","114,000","114,000","0.10K","-2.56%"
"08/02/2021","117,000","116,500","117,000","116,500","3.71K","6.17%"
"07/30/2021","110,200","106,600","110,200","106,600","1.40K","-6.61%"
"07/28/2021","118,000","118,000","118,000","118,000","0.71K","0.00%"
"07/26/2021","118,000","117,500","118,000","117,500","0.30K","0.43%"
"07/23/2021","117,500","117,500","117,500","117,500","0.67K","0.00%"
"07/20/2021","117,500","115,500","117,500","115,000","1.20K","2.17%"
"07/19/2021","115,000","117,000","117,000","115,000","1.50K","-2.54%"
"07/16/2021","118,000","120,000","120,000","118,000","0.40K","2.08%"
"07/15/2021","115,600","115,700","115,700","115,600","2.00K","-3.67%"
"07/14/2021","120,000","121,000","121,000","120,000","1.60K","-2.04%"
"07/13/2021","122,500","123,000","123,000","120,000","0.40K","2.08%"
"07/12/2021","120,000","120,000","120,000","119,000","8.30K","-2.83%"
"07/08/2021","123,500","123,100","123,500","110,700","2.74K","0.41%"
"07/07/2021","123,000","116,000","123,000","116,000","6.51K","3.27%"
"07/06/2021","119,100","120,000","120,000","119,100","0.71K","-1.16%"
"07/05/2021","120,500","120,700","120,700","120,000","0.80K","-2.03%"
"07/02/2021","123,000","120,000","123,000","119,500","10.20K","2.50%"
"07/01/2021","120,000","117,500","120,000","117,500","1.13K","1.69%"
"06/30/2021","118,000","116,500","118,000","116,300","1.60K","1.46%"
"06/29/2021","116,300","115,000","116,300","115,000","1.93K","-0.17%"
"06/28/2021","116,500","115,500","116,500","115,500","0.30K","0.87%"
"06/25/2021","115,500","115,000","115,500","114,500","1.40K","0.43%"
"06/24/2021","115,000","115,000","115,100","115,000","1.21K","-0.86%"
"06/23/2021","116,000","116,000","116,000","116,000","1.60K","0.00%"
"06/22/2021","116,000","115,000","116,000","115,000","0.80K","0.00%"
"06/21/2021","116,000","116,000","116,000","116,000","0.44K","-1.53%"
"06/18/2021","117,800","117,800","117,800","117,800","0.10K","0.08%"
"06/17/2021","117,700","114,000","117,700","114,000","0.34K","4.07%"
"06/16/2021","113,100","116,700","116,700","110,600","0.90K","-1.22%"
"06/15/2021","114,500","115,300","115,600","114,500","4.40K","-0.61%"
"06/14/2021","115,200","115,200","115,200","115,200","0.10K","-1.54%"
"06/11/2021","117,000","117,500","117,500","116,000","0.50K","0.00%"
"06/10/2021","117,000","117,000","117,100","117,000","1.30K","-2.50%"
"06/09/2021","120,000","115,000","120,000","115,000","0.70K","0.84%"
"06/08/2021","119,000","120,000","120,000","119,000","4.30K","-1.24%"
"06/07/2021","120,500","121,000","123,000","120,400","4.15K","0.42%"
"06/04/2021","120,000","113,100","120,000","113,100","9.08K","6.10%"
"06/03/2021","113,100","113,600","113,600","113,000","1.01K","-0.44%"
"06/02/2021","113,600","113,600","113,600","113,600","0.10K","0.00%"
"06/01/2021","113,600","114,000","114,000","113,200","3.70K","0.09%"
"05/31/2021","113,500","114,500","114,600","113,500","4.30K","-0.87%"
"05/28/2021","114,500","115,000","115,000","114,500","2.03K","-0.43%"
"05/27/2021","115,000","106,200","115,000","106,200","2.40K","-2.54%"
"05/26/2021","118,000","119,000","119,000","117,500","1.31K","-0.84%"
"05/25/2021","119,000","119,000","120,000","119,000","0.70K","-0.75%"
"05/24/2021","119,900","115,000","120,000","115,000","0.41K","3.36%"
