"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2023","14,178.6","14,642.9","14,642.9","14,035.7","28.56K","0.00%"
"03/31/2023","14,178.6","14,035.7","14,178.6","13,964.3","19.04K","-0.25%"
"03/30/2023","14,214.3","14,285.7","14,285.7","14,107.1","21.69K","0.25%"
"03/29/2023","14,178.6","14,285.7","14,285.7","13,964.3","11.54K","-0.25%"
"03/28/2023","14,214.3","14,107.1","14,214.3","13,928.6","29.40K","0.50%"
"03/27/2023","14,142.9","14,285.7","14,285.7","13,928.6","119.00K","-0.50%"
"03/24/2023","14,214.3","14,107.1","14,214.3","14,071.4","218.68K","0.00%"
"03/23/2023","14,214.3","14,214.3","14,214.3","13,892.9","11.48K","-0.50%"
"03/22/2023","14,285.7","14,071.4","14,642.9","14,071.4","32.20K","1.52%"
"03/21/2023","14,071.4","14,000.0","14,214.3","14,000.0","20.16K","0.51%"
"03/20/2023","14,000.0","14,642.9","14,642.9","13,892.9","33.17K","-2.00%"
"03/17/2023","14,285.7","14,321.4","14,357.1","13,928.6","20.16K","-0.50%"
"03/16/2023","14,357.1","14,214.3","14,464.3","14,142.9","60.11K","-0.74%"
"03/15/2023","14,464.3","14,392.9","14,500.0","14,285.7","96.60K","0.25%"
"03/14/2023","14,428.6","14,535.7","14,607.1","14,107.1","9.70K","1.00%"
"03/13/2023","14,285.7","14,500.0","15,750.0","14,250.0","41.17K","-0.25%"
"03/10/2023","14,321.4","14,535.7","14,535.7","14,285.7","8.12K","0.00%"
"03/09/2023","14,321.4","14,535.7","14,535.7","14,321.4","10.36K","-1.47%"
"03/08/2023","14,535.7","14,535.7","14,571.4","14,321.4","11.83K","0.00%"
"03/07/2023","14,535.7","14,357.1","14,535.7","14,285.7","13.16K","-0.25%"
"03/06/2023","14,571.4","14,571.4","14,642.9","14,357.1","16.24K","-0.24%"
"03/03/2023","14,607.1","14,607.1","14,607.1","14,607.1","2.52K","0.00%"
"03/02/2023","14,607.1","14,607.1","14,642.9","14,321.4","35.58K","0.00%"
"03/01/2023","14,607.1","14,607.1","14,642.9","14,428.6","24.99K","0.00%"
"02/28/2023","14,607.1","14,607.1","14,642.9","14,428.6","22.12K","0.00%"
"02/27/2023","14,607.1","14,607.1","14,642.9","14,428.6","27.44K","0.99%"
